nct_id,official_title,experimental_drugs,biomarkers,primary_outcomes,efficacy_status,reasoning
NCT00769067,A Randomized Phase 2 Trial Of Pf-00299804 Versus Erlotinib For The Treatment Of Advanced Non-small Cell Lung Cancer After Failure Of At Least One Prior Chemotherapy Regimen,PF-00299804; Dacomitinib,EGFR; KRAS,"The primary endpoint, Progression-Free Survival (PFS), demonstrated a statistically significant improvement for Dacomitinib (PF-00299804) compared to Erlotinib. The median PFS was 12.4 weeks (95% CI: 8.1, 16.1) for Dacomitinib versus 8.3 weeks (95% CI: 7.9, 11.7) for Erlotinib. The Hazard Ratio for Dacomitinib versus Erlotinib was 0.657 (95% CI: 0.472, 0.914), with a 2-sided p-value of 0.012.",POSITIVE,"The primary endpoint's p-value (0.012) is less than 0.05, and the 95% Confidence Interval for the Hazard Ratio (0.472, 0.914) does not cross 1.0 (it is entirely below 1), indicating statistical significance and superiority of the experimental drug (Dacomitinib) for PFS."
NCT00771953,"0822GCC Randomized, Double-Blind, Placebo-Controlled Multicenter Phase 2 Study of the Efficacy and Safety of Apricoxib in Combination With Either Docetaxel or Pemetrexed in Non-Small Cell Lung Cancer Patients",apricoxib,Unselected,"The primary endpoint was Progression-Free Survival (PFS). Median PFS was 75 days (95% CI: 47-104) for Apricoxib Plus Docetaxel, 97 days (95% CI: 48-216) for Placebo Plus Docetaxel, 103 days (95% CI: 62-225) for Apricoxib Plus Pemetrexed, and 98 days (95% CI: 37-197) for Placebo Plus Pemetrexed.",UNCERTAIN,"Median progression-free survival (PFS) and 95% confidence intervals are reported for each treatment arm, but no p-value or hazard ratio with its confidence interval is provided for the comparison between apricoxib and placebo arms, either overall or within chemotherapy backbones. Therefore, it is impossible to determine if the primary endpoint met statistical significance."
NCT00778167,A Phase I/Randomized Phase II Study of the Anti-IGF-1R Monoclonal Antibody IMC-A12 in Combination With Erlotinib Compared With Erlotinib Alone in Patients With Advanced Non-Small Cell Lung Cancer (NSCLC),cixutumumab,Unselected,"The primary outcome measured was the safety and tolerability of cixutumumab in combination with erlotinib hydrochloride, specifically Dose-Limiting Toxicities (DLTs) during Cycle One. DLTs were observed in 4 out of 6 participants in Cohort 1, 1 out of 8 participants in Cohort 2, and 2 out of 4 participants in Cohort 3. No efficacy results (e.g., PFS, OS, ORR) or their statistical significance were reported.",UNCERTAIN,"The primary endpoint of this study was safety and tolerability, focusing on DLTs. While results for this safety endpoint are reported, no efficacy outcomes (such as progression-free survival, overall survival, or objective response rate) or their statistical significance are provided in the data, making an efficacy analysis impossible."
NCT00783705,Phase IIb Randomized Comparative Study of the Efficacy and Safety of Myo-inositol Versus Placebo in Smokers With Bronchial Dysplasia,inositol,Unselected,"The trial had two primary outcomes: 
1. Participant-specific analysis of change in histologic grade of bronchial dysplasia: Inositol showed a higher complete response rate (26.3% vs 13.9% for placebo) but also a higher progressive disease rate (47.4% vs 33.3% for placebo).
2. Lesion-specific analysis of change in histologic grade of bronchial dysplasia: For the outcome of progressive disease versus complete response/stable disease, the Odds Ratio for inositol versus placebo was 1.4 (95% CI: 0.7, 3.0) with a p-value of 0.39.",NEGATIVE,"The primary outcome with reported statistical analysis (lesion-specific response/progression) did not demonstrate a statistically significant difference between inositol and placebo, as indicated by a p-value of 0.39 (>= 0.05) and a 95% confidence interval (0.7, 3.0) for the Odds Ratio that crossed 1.0. The first primary outcome's descriptive data was mixed and lacked a reported p-value."
NCT00789373,"A Phase 3, Double-Blind, Placebo-Controlled Study of Maintenance Pemetrexed Plus Best Supportive Care Versus Best Supportive Care Immediately Following Induction Treatment With Pemetrexed + Cisplatin for Advanced Non-squamous Non-Small Cell Lung Cancer.",Pemetrexed,Unselected,"The primary endpoint, investigator-assessed objective Progression-free Survival (PFS), was significantly improved in the maintenance pemetrexed arm (median 4.11 months; 95% CI: 3.15-4.57) compared to the placebo arm (median 2.83 months; 95% CI: 2.60-3.12). The Hazard Ratio was 0.62 (95% CI: 0.49-0.79) with a p-value of 0.00006.",POSITIVE,"The primary endpoint (Investigator-assessed Objective Progression-free Survival) demonstrated a statistically significant improvement for the maintenance pemetrexed arm with a p-value of 0.00006 (< 0.05) and a Hazard Ratio of 0.62 (95% CI: 0.49-0.79), where the confidence interval does not cross 1.0, favoring the experimental treatment."
NCT00800202,An Open Label Study to Assess the Effect of Avastin (Bevacizumab) Combined With First Line Paclitaxel-carboplatin or Second Line Tarceva (Erlotinib) on Progression-free Survival in Non-squamous Non-small Cell Lung Cancer Patients With Asymptomatic Untreated Brain Metastasis,bevacizumab; erlotinib,Unselected,"The study assessed progression-free survival (PFS) in two arms. For the bevacizumab + paclitaxel + carboplatin arm (Arm 1), the 6-month PFS rate was 56.5% (95% CI: 43.8-67.4) and median PFS was 6.7 months (95% CI: 5.7-7.1). For the bevacizumab + erlotinib arm (Arm 2), the 6-month PFS rate was 57.2% (95% CI: 37.0-76.3) and median PFS was 6.3 months (95% CI: 3.0-8.4). No p-values or comparative statistics were reported for the primary endpoints.",UNCERTAIN,"The primary outcomes reported descriptive statistics (percentages and medians of PFS with 95% confidence intervals for each arm). However, no p-values for hypothesis testing or comparative confidence intervals (e.g., for hazard ratios or differences between arms) were provided. Therefore, it is not possible to determine if the primary endpoints met statistical significance (p < 0.05) or failed based on the given criteria."
NCT00806286,Phase 2 Randomized Study of Carboplatin/Paclitaxel With or Without CS-7017 in Chemotherapy-Naïve Subjects With Metastatic Non-Small Cell Lung Cancer,CS7017,Unselected,"Both primary endpoints focused on Progression-Free Survival (PFS) at 18 weeks. The CS-7017 arm demonstrated significantly lower PFS rates (40.2% and 37.9%) compared to the placebo arm (63.3%). A Cox Proportional Hazard analysis for PFS showed a hazard ratio of 1.579 (95% CI: 1.0-2.5; p=0.0499) for CS-7017, indicating an increased risk of progression or death with the investigational drug.",NEGATIVE,"The investigational drug CS-7017 failed to demonstrate an improvement in the primary endpoint of progression-free survival. Instead, it was associated with a statistically significant *decrease* in PFS rate and an increased risk of progression/death (HR > 1.0) compared to placebo plus standard chemotherapy. While statistically significant, the effect was detrimental, thus classifying the outcome as negative for drug efficacy."
NCT00820755,"Open, Randomized, Multinational Phase IIIb Trial Evaluating the Activity and Safety of Cetuximab as 250 mg/m^2 Weekly and 500 mg/m^2 Every Two Weeks Maintenance Therapy After Platinum-based Chemotherapy in Combination With Cetuximab as First-line Treatment for Subjects With Advanced Non-small Cell Lung Cancer (NSCLC)",Cetuximab,EGFR,"The primary endpoints, Overall Survival (OS) Time and Percentage of Participants With 1-year Overall Survival, showed very similar results for the two Cetuximab maintenance regimens (500 mg/m^2 every 2 weeks vs. 250 mg/m^2 weekly), with overlapping confidence intervals. Median OS was 16.1 months (95% CI: 13.6-18.2) for the every 2 weeks group and 15.5 months (95% CI: 13.2-19.7) for the weekly group. The 1-year OS rates were 62.8% (95% CI: 54.7-70.0) and 64.4% (95% CI: 56.2-71.4), respectively.",NEGATIVE,"The study compared two Cetuximab maintenance dosing schedules. Neither of the primary endpoints (median OS and 1-year OS rates) showed a statistically significant difference between the two regimens, as indicated by overlapping confidence intervals for the reported measurements. This conclusion is further supported by an analysis of a secondary OS endpoint, which reported a p-value of 0.1265 (p >= 0.05) and a Hazard Ratio 95% CI (0.736, 1.250) that crossed 1.0."
NCT00826449,Phase I-II Study of Dasatinib and Erlotinib in Non-Small Cell Lung Cancer,Dasatinib; Erlotinib,EGFR,"The primary outcome, Maximum Tolerable Dose (MTD) of Dasatinib given with Erlotinib, was successfully determined. The MTD of Dasatinib was 70 mg/day.",POSITIVE,"The study's primary endpoint for Phase I was to determine the Maximum Tolerable Dose (MTD) of Dasatinib when given with Erlotinib. This objective was successfully met, with the MTD of Dasatinib identified as 70 mg/day. Although MTD determination is a safety/dose-finding endpoint and not typically assessed with a p-value for efficacy significance, the successful achievement of the primary objective constitutes a positive outcome for this phase of the trial."
NCT00828841,A Multi-Center Randomized Phase 2b Study of Cetuximab (Erbitux) in Combination With Platinum-Based Chemotherapy as First Line Treatment of Patients With Recurrent or Advanced Non-Small Cell Lung Cancer (NSCLC),Cetuximab,Unselected,"The primary outcome, median overall survival (OS), was 9.5 months (95% CI: 8.3, 11.4) for the Paclitaxel, Carboplatin, Cetuximab arm (Arm A), 8.3 months (95% CI: 7.1, 9.9) for the Platinum, Gemcitabine, Cetuximab arm (Arm B), and 10.6 months (95% CI: 8.0, 14.5) for the Platinum, Pemetrexed, Cetuximab arm (Arm C). No comparative statistical significance (p-value or HR with CI against a control) was reported to determine if the primary endpoint met significance.",UNCERTAIN,"The study reports median overall survival for three different combination arms, all including Cetuximab. There is no non-Cetuximab control arm to evaluate the efficacy of Cetuximab itself. Crucially, no p-values or hazard ratios with confidence intervals for comparisons between arms or against a control arm are provided, which prevents determining if the primary endpoint met statistical significance according to the defined criteria (p < 0.05 or CI crossing 1.0/0). Therefore, the efficacy status is 'UNCERTAIN'."
NCT00854308,"A Randomized, Phase II, Multicenter, Double-Blind, Placebo-Controlled Study Evaluating the Safety and Activity of MetMAb, a Monovalent Antagonist Antibody to the Receptor Met, Administered to Patients With Advanced Non-Small Cell Lung Cancer, in Combination With Tarceva (Erlotinib)",MetMAb,Unselected,"In the overall population, MetMAb plus erlotinib did not significantly improve progression-free survival (PFS) compared to placebo plus erlotinib (HR 1.086, 95% CI 0.727-1.622, p=0.6873). However, in the subgroup of patients with Met Diagnostic-Positive tumors, MetMAb plus erlotinib significantly prolonged PFS (HR 0.529, 95% CI 0.284-0.986, p=0.0418).",MIXED,"One primary endpoint (PFS in the overall population) was negative (p >= 0.05 and HR CI crossed 1.0). The other primary endpoint (PFS in Met Diagnostic-Positive tumors) was positive (p < 0.05 and HR CI did not cross 1.0), leading to mixed results."
NCT00855894,An Open-label Phase II Multicenter Study of the Safety and Activity (as Measured by FDG-PET Imaging Changes) of the Combination of Erlotinib and Pertuzumab in Patients With Relapsed Non-small Cell Lung Cancer,Pertuzumab; Erlotinib,EGFR,"The primary endpoint was the percentage of patients with a FDG-PET response at Day 56. The PET response rate in all patients was 19.5% (95% CI: 9.2, 33.9). In EGFR mutant patients (n=9), the response rate was 66.7% (95% CI: 29.9, 90.2). In EGFR wild-type patients (n=23), the response rate was 8.7% (95% CI: 1.6, 26.8).",MIXED,"The primary outcome, which included results for all patients and specified subgroups, showed a modest overall PET response rate. However, there was a highly differential response within the subgroups, with a strong response observed in EGFR mutant patients compared to a low response in EGFR wild-type patients. This highly variable efficacy across relevant subgroups, which were part of the primary endpoint analysis, leads to a 'MIXED' efficacy status."
